ID,Country,City,Date,Restaurant,Tried,full_name
1,USA,New York,2022-01-15,Restaurant A,Tried,Farrel Hoggin
2,USA,Los Angeles,2022-02-20,Restaurant B,Not Tried,Irma Olech
3,USA,Chicago,2022-03-10,Restaurant A,Tried,Emmit Gallacher
4,USA,Houston,2022-04-05,Restaurant C,Tried,Dunn Astlet
5,USA,Philadelphia,2022-05-15,Restaurant B,Not Tried,Burg Peaddie
6,USA,Phoenix,2022-06-20,Restaurant A,Not Tried,Molli Knoller
7,USA,San Antonio,2022-07-10,Restaurant C,Tried,Ellen Cheak
8,USA,San Diego,2022-08-05,Restaurant B,Tried,Kaela Hannibal
9,USA,Dallas,2022-09-15,Restaurant A,Not Tried,Roxanna Mughal
10,USA,San Jose,2022-10-20,Restaurant C,Tried,Sharona Robberts
11,Canada,Toronto,2022-01-25,Restaurant A,Tried,Tybie Dudding
12,Canada,Calgary,2022-02-15,Restaurant B,Not Tried,Reuben Beldan
13,Canada,Vancouver,2022-03-30,Restaurant C,Not Tried,Frannie Colter
14,Canada,Montreal,2022-04-10,Restaurant A,Tried,Tobe Francescuccio
15,Canada,Edmonton,2022-05-05,Restaurant B,Tried,Hillary Selwyne
16,Canada,Ottawa,2022-06-25,Restaurant C,Not Tried,Bianka Lodford
17,UK,London,2022-01-10,Restaurant A,Tried,Maureene Sleep
18,UK,Manchester,2022-02-08,Restaurant B,Tried,Guilbert Videler
19,UK,Birmingham,2022-03-05,Restaurant C,Not Tried,Kin Juszkiewicz
20,UK,Glasgow,2022-04-15,Restaurant A,Not Tried,Rosabella Droghan
21,UK,Liverpool,2022-05-20,Restaurant B,Tried,Charmion Pretswell
22,Germany,Berlin,2022-01-12,Restaurant C,Not Tried,Jada Corballis
23,Germany,Munich,2022-02-22,Restaurant A,Tried,Willey Kowal
24,Germany,Hamburg,2022-03-18,Restaurant B,Not Tried,Jimmie Apfelmann
25,Germany,Cologne,2022-04-08,Restaurant C,Tried,Skelly Ramet
26,Germany,Stuttgart,2022-05-25,Restaurant A,Tried,Jody Getcliffe
27,Australia,Sydney,2022-01-03,Restaurant B,Not Tried,Ella Melendez
28,Australia,Melbourne,2022-02-14,Restaurant C,Tried,Archibold Meiklejohn
29,Australia,Brisbane,2022-03-12,Restaurant A,Tried,Sara Petty
30,Australia,Perth,2022-04-02,Restaurant B,Not Tried,Iosep Scotchmur
31,Australia,Adelaide,2022-05-30,Restaurant C,Tried,Bronnie Whitcomb
